Religion,Total Population,Percentage
Hindu,159312654,79.76%
Muslim,38483967,19.27%
Christian,643500,0.32%
Sikh,641285,0.32%
Buddhist,206285,0.10%
Jain,213267,0.11%
Other religions and persuasions,135598,0.07%
Religion not stated,582622,0.29%
