Religion,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,108027,154305,20.70%,28.20%,7.50%
Christian,239843,182566,45.90%,33.40%,-12.50%
Buddhist,1000,959,0.20%,0.20%,0.00%
Hindu,4882,4757,0.90%,0.90%,0.00%
Jewish,299,254,0.10%,0.00%,-0.10%
Muslim,129041,166846,24.70%,30.50%,5.80%
Sikh,5125,4834,1.00%,0.90%,-0.10%
Other religion,1686,2074,0.30%,0.40%,0.10%
Not answered,32549,29816,6.20%,5.50%,-0.70%
