Religions,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,17095,28412,25.10%,40.10%,0.15
Christian,43392,34611,63.80%,48.80%,-15.00%
Buddhist,163,184,0.20%,0.30%,0.001
Hindu,96,103,0.10%,0.10%,0.00%
Jewish,67,64,0.10%,0.10%,0.00%
Muslim,2613,3476,3.80%,4.90%,0.011
Sikh,9,32,0.00%,0.00%,0.00%
Other religion,231,333,0.30%,0.50%,0.002
Religion not stated,4316,3655,6.30%,5.20%,-1.10%
