Religions,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,25754,38931,18.40%,26.30%,7.90%
Christian,85518,70424,61.00%,47.60%,-13.40%
Buddhist,385,435,0.30%,0.30%,0.00%
Hindu,3338,4398,2.40%,3.00%,0.60%
Jewish,60,76,0.00%,0.10%,0.10%
Muslim,15769,23825,11.20%,16.10%,4.90%
Sikh,930,1091,0.70%,0.70%,0.00%
Other religion,428,610,0.30%,0.40%,0.10%
Religion not stated,8020,8045,5.70%,5.40%,-0.30%
