Religions,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,19573,27526,21.90%,28.70%,6.80%
Christian,48043,37526,53.70%,39.20%,-14.50%
Buddhist,224,223,0.30%,0.20%,-0.10%
Hindu,91,70,0.10%,0.10%,0.00%
Jewish,36,32,0.00%,0.00%,0.00%
Muslim,15579,24900,17.40%,26.00%,8.60%
Sikh,9,35,0.00%,0.00%,0.00%
Other religion,334,357,0.40%,0.40%,0.00%
Religion not stated,5563,5090,6.20%,5.30%,-0.90%
