Year,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2050,Seychelles,"90,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"100,000"
2050,Sierra Leone,"2,040,000","8,850,000","10,000",<10000,<10000,"90,000","10,000",<10000,"11,000,000"
2050,Singapore,"1,350,000","1,690,000","1,270,000","790,000","2,140,000","220,000","450,000","10,000","7,910,000"
2050,Slovakia,"4,160,000","40,000","990,000",<10000,"10,000","10,000",<10000,<10000,"5,230,000"
2050,Slovenia,"1,300,000","80,000","350,000",<10000,<10000,<10000,<10000,<10000,"1,740,000"
2050,Solomon Islands,"1,130,000",<10000,<10000,<10000,<10000,"20,000",<10000,<10000,"1,160,000"
2050,Somalia,"20,000","26,100,000","10,000","10,000",<10000,"20,000",<10000,<10000,"26,170,000"
2050,South Africa,"48,550,000","1,580,000","9,330,000","460,000","90,000","430,000","200,000","30,000","60,660,000"
2050,South Korea,"15,920,000","340,000","22,010,000","50,000","8,620,000","470,000","110,000",<10000,"47,520,000"
2050,Spain,"34,100,000","3,940,000","13,850,000","120,000","70,000","150,000","30,000","60,000","52,310,000"
2050,Sri Lanka,"1,670,000","3,010,000",<10000,"3,430,000","16,310,000",<10000,<10000,<10000,"24,420,000"
2050,Sudan,"3,830,000","64,720,000","750,000",<10000,<10000,"2,020,000",<10000,<10000,"71,330,000"
2050,Suriname,"370,000","80,000","60,000","100,000",<10000,"50,000","10,000",<10000,"670,000"
2050,Swaziland,"1,470,000",<10000,"140,000",<10000,<10000,"20,000",<10000,<10000,"1,640,000"
2050,Sweden,"5,730,000","1,350,000","3,590,000","60,000","130,000","40,000","40,000","20,000","10,960,000"
2050,Switzerland,"4,870,000","600,000","2,230,000","50,000","60,000","10,000","20,000","20,000","7,860,000"
2050,Syria,"1,720,000","31,220,000","680,000",<10000,<10000,<10000,<10000,<10000,"33,630,000"
2050,Taiwan,"1,310,000","10,000","3,450,000",<10000,"4,130,000","8,520,000","2,740,000",<10000,"20,150,000"
2050,Tajikistan,"260,000","11,800,000","190,000",<10000,<10000,<10000,<10000,<10000,"12,280,000"
2050,Tanzania,"93,550,000","43,250,000","3,190,000","50,000",<10000,"420,000","20,000",<10000,"140,470,000"
2050,Thailand,"720,000","5,610,000","210,000","120,000","61,190,000","60,000",<10000,<10000,"67,910,000"
2050,Timor-Leste,"3,070,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"3,080,000"
2050,Togo,"3,910,000","1,490,000","690,000",<10000,<10000,"4,500,000","60,000",<10000,"10,650,000"
2050,Tokelau,<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000
2050,Tonga,"210,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"210,000"
2050,Trinidad and Tobago,"840,000","70,000","20,000","260,000",<10000,"30,000","20,000",<10000,"1,230,000"
2050,Tunisia,"30,000","12,510,000","30,000",<10000,<10000,<10000,<10000,<10000,"12,570,000"
2050,Turkey,"480,000","89,320,000","1,080,000",<10000,"50,000","30,000","190,000","30,000","91,180,000"
2050,Turkmenistan,"450,000","6,420,000","40,000",<10000,<10000,<10000,<10000,<10000,"6,910,000"
2050,Turks and Caicos Islands,"40,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"40,000"
2050,Tuvalu,"10,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"10,000"
2050,Uganda,"81,020,000","13,370,000","490,000","290,000",<10000,"830,000","110,000",<10000,"96,120,000"
2050,Ukraine,"32,470,000","1,340,000","2,420,000","70,000","30,000","30,000","10,000","20,000","36,400,000"
2050,United Arab Emirates,"1,320,000","7,510,000","100,000","980,000","280,000","30,000","60,000",<10000,"10,280,000"
2050,United Kingdom,"31,150,000","7,760,000","26,710,000","1,370,000","640,000","210,000","550,000","240,000","68,610,000"
2050,United States,"261,960,000","8,090,000","100,860,000","4,780,000","5,480,000","2,070,000","5,760,000","5,360,000","394,350,000"
2050,U.S. Virgin Islands,"110,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"110,000"
2050,Uruguay,"2,020,000",<10000,"1,500,000",<10000,<10000,"30,000","10,000",<10000,"3,570,000"
2050,Uzbekistan,"530,000","35,300,000","240,000",<10000,"10,000","20,000",<10000,<10000,"36,110,000"
2050,Vanuatu,"480,000",<10000,<10000,<10000,<10000,"20,000",<10000,<10000,"510,000"
2050,Venezuela,"36,100,000","120,000","3,720,000",<10000,<10000,"290,000","30,000",<10000,"40,270,000"
2050,Vietnam,"9,310,000","200,000","31,720,000",<10000,"16,590,000","45,790,000","430,000",<10000,"104,040,000"
2050,Wallis and Futuna,"10,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"10,000"
2050,Western Sahara,<10000,"730,000",<10000,<10000,<10000,<10000,<10000,<10000,"730,000"
2050,Yemen,"80,000","61,050,000","60,000","380,000",<10000,<10000,<10000,<10000,"61,580,000"
2050,Zambia,"43,170,000","470,000","290,000","50,000",<10000,"160,000","480,000",<10000,"44,640,000"
2050,Zimbabwe,"16,230,000","200,000","1,430,000",<10000,<10000,"930,000","50,000",<10000,"18,850,000"
2050,South Sudan,"12,750,000","1,300,000","100,000",<10000,<10000,"6,930,000",<10000,<10000,"21,080,000"
2050,Curacao,"170,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"180,000"
2050,Sint Maarten,"60,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"60,000"
2050,Caribbean Netherlands,"20,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"20,000"
