Religious Community,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,19029,37018,17.20%,31.50%,14.30%
Christian,84337,72269,76.20%,61.50%,-14.70%
Buddhist,141,262,0.10%,0.20%,0.10%
Hindu,229,241,0.20%,0.20%,0.00%
Jewish,62,70,0.10%,0.10%,0.00%
Muslim,276,507,0.20%,0.40%,0.20%
Sikh,87,94,0.10%,0.10%,0.00%
Other religion,216,357,0.20%,0.30%,0.10%
Religion not stated,6308,6609,5.70%,5.60%,-0.10%
