Religions,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,19210,37720,17.80%,33.70%,15.90%
Christian,80346,66973,74.60%,59.80%,-14.70%
Buddhist,220,294,0.20%,0.30%,0.10%
Hindu,161,183,0.10%,0.20%,0.10%
Jewish,69,85,0.10%,0.10%,0.00%
Muslim,305,452,0.30%,0.40%,0.10%
Sikh,25,26,0.00%,0.00%,0.00%
Other religion,342,477,0.30%,0.40%,0.10%
Religion not stated,7071,5732,6.60%,5.10%,-1.40%
