Religions,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,8299,16144,14.50%,26.20%,11.70%
Christian,44627,40855,78.10%,66.40%,-11.70%
Buddhist,88,132,0.20%,0.20%,0.00%
Hindu,99,178,0.20%,0.30%,0.10%
Jewish,10,22,0.00%,0.00%,0.00%
Muslim,425,796,0.70%,1.30%,0.60%
Sikh,41,24,0.10%,0.00%,-0.10%
Other religion,139,162,0.20%,0.30%,0.10%
Religion not stated,3404,3248,6.00%,5.30%,-0.70%
