Religions,Population 2011,Population 2021,Percentage 2011,Percentage 2021,Percentage Change
No religion,27367,43851,29.10%,42.60%,13.50%
Christian,54594,44684,58.10%,43.40%,-14.70%
Buddhist,177,263,0.20%,0.30%,0.10%
Hindu,2550,3825,2.70%,3.70%,0.01
Jewish,61,57,0.10%,0.10%,0.00%
Muslim,728,1421,0.80%,1.40%,0.60%
Sikh,1849,2927,2.00%,2.80%,0.80%
Other religion,337,410,0.40%,0.40%,0.00%
Religion not stated,6252,5488,6.70%,5.30%,-1.30%
